Sample ID	Text	Unit	Mineral #1	%	Chem. #	Mineral #2	%	Chem. #	Mineral #3	%	Chem. #	Mineral #4	%	Chem. #	Mineral #5	%	Chem. #	Mineral #6	%	Chem. #	Mineral #7	%	Chem. #	Mineral #8	%	Chem. #	Mineral #9	%	Chem. #	Mineral #10	%	Chem. #
LS-CMP-011          	"15415,60"		PLG	100.00 	0	   	0.00 	0	   	0.00 	0	   	0.00 	0	   	0.00 	0	   	0.00 	0	   	0.00 	0	   	0.00 	0	   	0.00 	0	   	0.00 	0
LS-CMP-012          	"78235,9002A "		OPX	100.00 	0	   	0.00 	0	   	0.00 	0	   	0.00 	0	   	0.00 	0	   	0.00 	0	   	0.00 	0	   	0.00 	0	   	0.00 	0	   	0.00 	0
LS-CMP-015-G1       	"60019,215 Clast G1"		PLG	65.00 	0	OLV	8.00 	0	OPX	25.00 	0	AUG	2.00 	0	   	0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0
LS-CMP-015-G2       	"60019,215 Clast G2"		PLG	57.00 	0	OLV	6.00 	0	OPX	34.00 	0	OTH	3.00 	0	   	0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0
LS-CMP-015-G3       	"60019,215 Clast G3"		PLG	52.60 	0	OPX	45.30 	0	OTH	2.10 	0	   	3.00 	0	   	0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0
LS-CMP-015-G5       	"60019,215 Clast G5"		   	52.60 	0	OPX	45.30 	0	OTH	2.10 	0	   	3.00 	0	   	0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0
LS-CMP-015-R3       	"60019,215 Clast R3"		PLG	81.00 	0	OLV	11.20 	0	OTH	7.80 	0	   	3.00 	0	   	0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0
LS-JBA-001-P1       	"10020,177"		   	3.30 	0	   	25.20 	0	   	25.10 	0	   	25.00 	0	   	20.20 	0	   	0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0
LS-JBA-051-X4       	"12063,79P "		PLG	100.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0
LS-JBA-122          	15415P		ANO	96.00 	252	   	0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0
LS-JBA-245          	"76535,17"		OLV	0.00 	0	PLG	0.00 	0	PYX	0.00 	0	CHR	0.00 	0	TRO	0.00 	0	   	0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0
LS-JBA-246          	"79215,14"		PLG	81.30 	0	MAF	17.50 	0	OPA	0.40 	0	APA	0.80 	0	   	0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0
LS-JBA-264          	"10003,00"		PYX	50.00 	0	PLG	32.00 	0	ILM	16.00 	0	OLV	0.50 	0	TRO	0.50 	0	CRI	0.70 	0	   	0.00 	0		0.00 	0		0.00 	0		0.00 	0
MA-ATB-034          	Ast-Carb 19 		CHL	50.00 	0	OLV	25.00 	0	FEO	25.00 	0	   	0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0
MA-ATB-040          	Ast 26		CHL	50.00 	0	OLV	25.00 	0	FEO	25.00 	0	   	0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0
