SpectrumID	SampleID	Date	ReleaseDate	SpecCode	Start	Stop	Resolution	SourceAngle	DetectAngle	AzimuthAngle	PhaseAngle	Temperature	Atmosphere	PhotoFile	Spinning	Aperture	Scrambler	Depolarizer	User	NASA_PI_Sponsor	ResearchType	Reference			
LAAG06	AG-BXR-006	18-May-99	15-May-01	BD-VNIR+BC-FTIR1	350	25920	9.0	NA	NA	NA	NA	Room	Ambient+Dry		No		Out	Out	BXR		NASA-ESA-FSU-Japan-Canada 				
C1AG07	AG-BXR-007	21-May-99	20-May-01	BD-VNIR	350	2500	2.0	0.0	-30.0	0.0	30.0	Room	Ambient		Yes	7.0	In	Out	BXR		NASA-ESA-FSU-Japan-Canada 				
C2AG07	AG-BXR-007	18-May-99	19-May-01	BD-VNIR	350	2500	2.0	30.0	0.0	0.0	30.0	Room	Ambient		Yes	7.0	In	Out	BXR		NASA-ESA-FSU-Japan-Canada 				
LAAG07	AG-BXR-007	21-May-99	20-May-01	BD-VNIR+BC-FTIR1	350	25920	9.0	NA	NA	NA	NA	Room	Ambient+Dry		No		Out	Out	BXR						
C1AG01	AG-CMP-001	3-Sep-87	31-Dec-00	BD-VNIR	320	2700	10.0	30.0	0.0	0.0	30.0	Room	Ambient						CMP						
C1AG52	AG-PHS-052	2-May-13	1-May-16	BD-VNIR	320	2600	5.0	30.0	0.0	0.0	30.0	Room	Ambient	AG-PHS-052_2.8mmSpot	Yes	3.5	In 	Out	MBS	PHS	"PGG, Student"				
C1AG53	AG-PHS-053	2-May-13	1-May-16	BD-VNIR	320	2600	5.0	30.0	0.0	0.0	30.0	Room	Ambient	AG-PHS-053_2.8mmSpot	Yes	3.5	In 	Out	MBS	PHS	"PGG, Student"				
C1AG08	AG-TJM-008	15-Feb-06	16-Feb-09	BD-VNIR	320	2550	5.0	30.0	0.0	0.0	30.0	Room	Ambient		Yes	3.5	Out	Out	A1G	TJM	Cosmochemistry				
C1AG09	AG-TJM-009	15-Feb-06	16-Feb-09	BD-VNIR	320	2550	5.0	30.0	0.0	0.0	30.0	Room	Ambient		Yes	3.5	Out	Out	A1G	TJM	Cosmochemistry				
C1AG10	AG-TJM-010	15-Feb-06	16-Feb-09	BD-VNIR	320	2550	5.0	30.0	0.0	0.0	30.0	Room	Ambient		Yes	3.5	Out	Out	A1G	TJM	Cosmochemistry				
