PI	Sub-Code	Wavelength Corrected File	Original  File	Sample ID	Date	Start	Stop	Rel	Source Angle	Detect Angle
JBA	LS	CLS246.DAT	WLS246.DAT	LS-JBA-160-NX2	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS419.DAT	WLS419.DAT	LS-JBA-160-PX 	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS216.DAT	WLS216.DAT	LS-JBA-161-M  	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS387.DAT	WLS387.DAT	LS-JBA-161-N  	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS019.DAT	WLS019.DAT	LS-JBA-161-P  	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS399.DAT	WLS399.DAT	LS-JBA-161-P  	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS517.DAT	WLS517.DAT	LS-JBA-162-N  	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS104.DAT	WLS104.DAT	LS-JBA-162-P1 	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS243.DAT	WLS243.DAT	LS-JBA-162-P2 	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS252.DAT	WLS252.DAT	LS-JBA-162-P3 	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS225.DAT	WLS225.DAT	LS-JBA-163-M  	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS394.DAT	WLS394.DAT	LS-JBA-163-N  	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS029.DAT	WLS029.DAT	LS-JBA-163-P  	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS219.DAT	WLS219.DAT	LS-JBA-164-M  	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS389.DAT	WLS389.DAT	LS-JBA-164-N  	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS023.DAT	WLS023.DAT	LS-JBA-164-P  	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS386.DAT	WLS386.DAT	LS-JBA-165    	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS217.DAT	WLS217.DAT	LS-JBA-166-M  	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS022.DAT	WLS022.DAT	LS-JBA-166-N  	2-Jul-85	351	2515	3	NA	NA
